"ID","MAIN_ENGINE_MANUFACTURER","NUMBER_OF_PROPELLORS","MAIN_ENGINE_CAPACITY","TYPE_OF_FUEL","BOW_THRUSTER","STERN_THRUSTER","SHIP_CATEGORY"
19729,"",,8951,"HFO","","","BULK"
19730,"",,9988,"HFO","","","TANKER"
19731,"",,9988,"HFO","","","TANKER"
19732,"",,7333,"HFO","","","BULK"
19733,"",,7392,"HFO","","","BULK"
19734,"",,7392,"","","","BULK"
19736,"",,9194,"HFO","","","BULK"
19737,"",,5148,"HFO","880 PK","","TANKER"
19738,"",,5980,"HFO","","","TANKER"
19740,"",,3883,"HFO","","","BULK"
19741,"",,3883,"HFO","","","BULK"
19742,"",,17962,"HFO","1200 PK","","GEN CARGO"
19743,"",,8561,"","JA","","BULK"
19744,"",,54839,"HFO","2210KW","2X900KW","GEN CARGO"
19745,"",,54839,"HFO","2210 KW","2X900 KW","GEN CARGO"
19746,"",,54901,"HFO","2210 KW","2X900 KW","GEN CARGO"
19747,"",,5280,"HFO","580 KW","","TANKER"
19748,"",,7171,"HFO","","","BULK"
19750,"",,17962,"HFO","","","BULK"
19751,"",,6987,"","","","BULK"
19752,"",,8164,"HFO","","","BULK"
19753,"",,14858,"HFO","","","BULK"
19754,"",,16859,"HFO","","","BULK"
19755,"",,5392,"HFO","","","BULK"
19757,"",,6977,"HFO","","","BULK"
19758,"",,3236,"HFO","","","GEN CARGO"
19759,"",,5296,"HFO","","","BULK"
19760,"",,12269,"HFO","","","BULK"
19761,"",,8561,"HFO","","","BULK"
19763,"",,5715,"HFO","","","BULK"
19764,"",,41039,"HFO","1800 KW","","GEN CARGO"
19765,"",,41039,"HFO","1800 KW","","GEN CARGO"
19766,"",,41039,"HFO","1800 KW","","GEN CARGO"
19768,"",,32423,"HFO","1200KW","","GEN CARGO"
19769,"",,5899,"HFO","600 KW","","GEN CARGO"
17230,"",,7061,"HFO","","","GEN CARGO"
17231,"",,7463,"HFO","","","TANKER"
17232,"",,7457,"HFO","","","TANKER"
17234,"",,14149,"HFO","","","TANKER"
17235,"",,16866,"HFO","","","BULK"
17236,"",,16859,"HFO","","","BULK"
17238,"",,10405,"HFO","883 KW","","TANKER"
17239,"",,10415,"HFO","1200 PK","","TANKER"
17240,"",,5849,"HFO","450 KW","","TANKER"
17241,"",,11475,"HFO","895 KW","","TANKER"
17242,"",,10420,"HFO","1100 PK","","TANKER"
17243,"",,10812,"HFO","1500 PK","","GEN CARGO"
17244,"",,7457,"HFO","","","TANKER"
